koop,onderhoud,deuren,personen,kofferbak,veiligheid,Is_staat_goed
zeer hoog,zeer hoog,2.0,2.0,klein,laag,FALSE
zeer hoog,zeer hoog,2.0,2.0,klein,medium,FALSE
zeer hoog,zeer hoog,2.0,2.0,klein,hoog,FALSE
zeer hoog,zeer hoog,2.0,2.0,medium,laag,FALSE
zeer hoog,zeer hoog,2.0,2.0,medium,medium,FALSE
zeer hoog,zeer hoog,2.0,2.0,medium,hoog,FALSE
zeer hoog,zeer hoog,2.0,2.0,groot,laag,FALSE
zeer hoog,zeer hoog,2.0,2.0,groot,medium,FALSE
zeer hoog,zeer hoog,2.0,2.0,groot,hoog,FALSE
zeer hoog,zeer hoog,2.0,4.0,klein,laag,FALSE
zeer hoog,zeer hoog,2.0,4.0,klein,medium,FALSE
zeer hoog,zeer hoog,2.0,4.0,klein,hoog,FALSE
zeer hoog,zeer hoog,2.0,4.0,medium,laag,FALSE
zeer hoog,zeer hoog,2.0,4.0,medium,medium,FALSE
zeer hoog,zeer hoog,2.0,4.0,medium,hoog,FALSE
zeer hoog,zeer hoog,2.0,4.0,groot,laag,FALSE
zeer hoog,zeer hoog,2.0,4.0,groot,medium,FALSE
zeer hoog,zeer hoog,2.0,4.0,groot,hoog,FALSE
zeer hoog,zeer hoog,2.0,7.0,klein,laag,FALSE
zeer hoog,zeer hoog,2.0,7.0,klein,medium,FALSE
zeer hoog,zeer hoog,2.0,7.0,klein,hoog,FALSE
zeer hoog,zeer hoog,2.0,7.0,medium,laag,FALSE
zeer hoog,zeer hoog,2.0,7.0,medium,medium,FALSE
zeer hoog,zeer hoog,2.0,7.0,medium,hoog,FALSE
zeer hoog,zeer hoog,2.0,7.0,groot,laag,FALSE
zeer hoog,zeer hoog,2.0,7.0,groot,medium,FALSE
zeer hoog,zeer hoog,2.0,7.0,groot,hoog,FALSE
zeer hoog,zeer hoog,3.0,2.0,klein,laag,FALSE
zeer hoog,zeer hoog,3.0,2.0,klein,medium,FALSE
zeer hoog,zeer hoog,3.0,2.0,klein,hoog,FALSE
zeer hoog,zeer hoog,3.0,2.0,medium,laag,FALSE
zeer hoog,zeer hoog,3.0,2.0,medium,medium,FALSE
zeer hoog,zeer hoog,3.0,2.0,medium,hoog,FALSE
zeer hoog,zeer hoog,3.0,2.0,groot,laag,FALSE
zeer hoog,zeer hoog,3.0,2.0,groot,medium,FALSE
zeer hoog,zeer hoog,3.0,2.0,groot,hoog,FALSE
zeer hoog,zeer hoog,3.0,4.0,klein,laag,FALSE
zeer hoog,zeer hoog,3.0,4.0,klein,medium,FALSE
zeer hoog,zeer hoog,3.0,4.0,klein,hoog,FALSE
zeer hoog,zeer hoog,3.0,4.0,medium,laag,FALSE
zeer hoog,zeer hoog,3.0,4.0,medium,medium,FALSE
zeer hoog,zeer hoog,3.0,4.0,medium,hoog,FALSE
zeer hoog,zeer hoog,3.0,4.0,groot,laag,FALSE
zeer hoog,zeer hoog,3.0,4.0,groot,medium,FALSE
zeer hoog,zeer hoog,3.0,4.0,groot,hoog,FALSE
zeer hoog,zeer hoog,3.0,7.0,klein,laag,FALSE
zeer hoog,zeer hoog,3.0,7.0,klein,medium,FALSE
zeer hoog,zeer hoog,3.0,7.0,klein,hoog,FALSE
zeer hoog,zeer hoog,3.0,7.0,medium,laag,FALSE
zeer hoog,zeer hoog,3.0,7.0,medium,medium,FALSE
zeer hoog,zeer hoog,3.0,7.0,medium,hoog,FALSE
zeer hoog,zeer hoog,3.0,7.0,groot,laag,FALSE
zeer hoog,zeer hoog,3.0,7.0,groot,medium,FALSE
zeer hoog,zeer hoog,3.0,7.0,groot,hoog,FALSE
zeer hoog,zeer hoog,4.0,2.0,klein,laag,FALSE
zeer hoog,zeer hoog,4.0,2.0,klein,medium,FALSE
zeer hoog,zeer hoog,4.0,2.0,klein,hoog,FALSE
zeer hoog,zeer hoog,4.0,2.0,medium,laag,FALSE
zeer hoog,zeer hoog,4.0,2.0,medium,medium,FALSE
zeer hoog,zeer hoog,4.0,2.0,medium,hoog,FALSE
zeer hoog,zeer hoog,4.0,2.0,groot,laag,FALSE
zeer hoog,zeer hoog,4.0,2.0,groot,medium,FALSE
zeer hoog,zeer hoog,4.0,2.0,groot,hoog,FALSE
zeer hoog,zeer hoog,4.0,4.0,klein,laag,FALSE
zeer hoog,zeer hoog,4.0,4.0,klein,medium,FALSE
zeer hoog,zeer hoog,4.0,4.0,klein,hoog,FALSE
zeer hoog,zeer hoog,4.0,4.0,medium,laag,FALSE
zeer hoog,zeer hoog,4.0,4.0,medium,medium,FALSE
zeer hoog,zeer hoog,4.0,4.0,medium,hoog,FALSE
zeer hoog,zeer hoog,4.0,4.0,groot,laag,FALSE
zeer hoog,zeer hoog,4.0,4.0,groot,medium,FALSE
zeer hoog,zeer hoog,4.0,4.0,groot,hoog,FALSE
zeer hoog,zeer hoog,4.0,7.0,klein,laag,FALSE
zeer hoog,zeer hoog,4.0,7.0,klein,medium,FALSE
zeer hoog,zeer hoog,4.0,7.0,klein,hoog,FALSE
zeer hoog,zeer hoog,4.0,7.0,medium,laag,FALSE
zeer hoog,zeer hoog,4.0,7.0,medium,medium,FALSE
zeer hoog,zeer hoog,4.0,7.0,medium,hoog,FALSE
zeer hoog,zeer hoog,4.0,7.0,groot,laag,FALSE
zeer hoog,zeer hoog,4.0,7.0,groot,medium,FALSE
zeer hoog,zeer hoog,4.0,7.0,groot,hoog,FALSE
zeer hoog,zeer hoog,5.0,2.0,klein,laag,FALSE
zeer hoog,zeer hoog,5.0,2.0,klein,medium,FALSE
zeer hoog,zeer hoog,5.0,2.0,klein,hoog,FALSE
zeer hoog,zeer hoog,5.0,2.0,medium,laag,FALSE
zeer hoog,zeer hoog,5.0,2.0,medium,medium,FALSE
zeer hoog,zeer hoog,5.0,2.0,medium,hoog,FALSE
zeer hoog,zeer hoog,5.0,2.0,groot,laag,FALSE
zeer hoog,zeer hoog,5.0,2.0,groot,medium,FALSE
zeer hoog,zeer hoog,5.0,2.0,groot,hoog,FALSE
zeer hoog,zeer hoog,5.0,4.0,klein,laag,FALSE
zeer hoog,zeer hoog,5.0,4.0,klein,medium,FALSE
zeer hoog,zeer hoog,5.0,4.0,klein,hoog,FALSE
zeer hoog,zeer hoog,5.0,4.0,medium,laag,FALSE
zeer hoog,zeer hoog,5.0,4.0,medium,medium,FALSE
zeer hoog,zeer hoog,5.0,4.0,medium,hoog,FALSE
zeer hoog,zeer hoog,5.0,4.0,groot,laag,FALSE
zeer hoog,zeer hoog,5.0,4.0,groot,medium,FALSE
zeer hoog,zeer hoog,5.0,4.0,groot,hoog,FALSE
zeer hoog,zeer hoog,5.0,7.0,klein,laag,FALSE
zeer hoog,zeer hoog,5.0,7.0,klein,medium,FALSE
zeer hoog,zeer hoog,5.0,7.0,klein,hoog,FALSE
zeer hoog,zeer hoog,5.0,7.0,medium,laag,FALSE
zeer hoog,zeer hoog,5.0,7.0,medium,medium,FALSE
zeer hoog,zeer hoog,5.0,7.0,medium,hoog,FALSE
zeer hoog,zeer hoog,5.0,7.0,groot,laag,FALSE
zeer hoog,zeer hoog,5.0,7.0,groot,medium,FALSE
zeer hoog,zeer hoog,5.0,7.0,groot,hoog,FALSE
zeer hoog,hoog,2.0,2.0,klein,laag,FALSE
zeer hoog,hoog,2.0,2.0,klein,medium,FALSE
zeer hoog,hoog,2.0,2.0,klein,hoog,FALSE
zeer hoog,hoog,2.0,2.0,medium,laag,FALSE
zeer hoog,hoog,2.0,2.0,medium,medium,FALSE
zeer hoog,hoog,2.0,2.0,medium,hoog,FALSE
zeer hoog,hoog,2.0,2.0,groot,laag,FALSE
zeer hoog,hoog,2.0,2.0,groot,medium,FALSE
zeer hoog,hoog,2.0,2.0,groot,hoog,FALSE
zeer hoog,hoog,2.0,4.0,klein,laag,FALSE
zeer hoog,hoog,2.0,4.0,klein,medium,FALSE
zeer hoog,hoog,2.0,4.0,klein,hoog,FALSE
zeer hoog,hoog,2.0,4.0,medium,laag,FALSE
zeer hoog,hoog,2.0,4.0,medium,medium,FALSE
zeer hoog,hoog,2.0,4.0,medium,hoog,FALSE
zeer hoog,hoog,2.0,4.0,groot,laag,FALSE
zeer hoog,hoog,2.0,4.0,groot,medium,FALSE
zeer hoog,hoog,2.0,4.0,groot,hoog,FALSE
zeer hoog,hoog,2.0,7.0,klein,laag,FALSE
zeer hoog,hoog,2.0,7.0,klein,medium,FALSE
zeer hoog,hoog,2.0,7.0,klein,hoog,FALSE
zeer hoog,hoog,2.0,7.0,medium,laag,FALSE
zeer hoog,hoog,2.0,7.0,medium,medium,FALSE
zeer hoog,hoog,2.0,7.0,medium,hoog,FALSE
zeer hoog,hoog,2.0,7.0,groot,laag,FALSE
zeer hoog,hoog,2.0,7.0,groot,medium,FALSE
zeer hoog,hoog,2.0,7.0,groot,hoog,FALSE
zeer hoog,hoog,3.0,2.0,klein,laag,FALSE
zeer hoog,hoog,3.0,2.0,klein,medium,FALSE
zeer hoog,hoog,3.0,2.0,klein,hoog,FALSE
zeer hoog,hoog,3.0,2.0,medium,laag,FALSE
zeer hoog,hoog,3.0,2.0,medium,medium,FALSE
zeer hoog,hoog,3.0,2.0,medium,hoog,FALSE
zeer hoog,hoog,3.0,2.0,groot,laag,FALSE
zeer hoog,hoog,3.0,2.0,groot,medium,FALSE
zeer hoog,hoog,3.0,2.0,groot,hoog,FALSE
zeer hoog,hoog,3.0,4.0,klein,laag,FALSE
zeer hoog,hoog,3.0,4.0,klein,medium,FALSE
zeer hoog,hoog,3.0,4.0,klein,hoog,FALSE
zeer hoog,hoog,3.0,4.0,medium,laag,FALSE
zeer hoog,hoog,3.0,4.0,medium,medium,FALSE
zeer hoog,hoog,3.0,4.0,medium,hoog,FALSE
zeer hoog,hoog,3.0,4.0,groot,laag,FALSE
zeer hoog,hoog,3.0,4.0,groot,medium,FALSE
zeer hoog,hoog,3.0,4.0,groot,hoog,FALSE
zeer hoog,hoog,3.0,7.0,klein,laag,FALSE
zeer hoog,hoog,3.0,7.0,klein,medium,FALSE
zeer hoog,hoog,3.0,7.0,klein,hoog,FALSE
zeer hoog,hoog,3.0,7.0,medium,laag,FALSE
zeer hoog,hoog,3.0,7.0,medium,medium,FALSE
zeer hoog,hoog,3.0,7.0,medium,hoog,FALSE
zeer hoog,hoog,3.0,7.0,groot,laag,FALSE
zeer hoog,hoog,3.0,7.0,groot,medium,FALSE
zeer hoog,hoog,3.0,7.0,groot,hoog,FALSE
zeer hoog,hoog,4.0,2.0,klein,laag,FALSE
zeer hoog,hoog,4.0,2.0,klein,medium,FALSE
zeer hoog,hoog,4.0,2.0,klein,hoog,FALSE
zeer hoog,hoog,4.0,2.0,medium,laag,FALSE
zeer hoog,hoog,4.0,2.0,medium,medium,FALSE
zeer hoog,hoog,4.0,2.0,medium,hoog,FALSE
zeer hoog,hoog,4.0,2.0,groot,laag,FALSE
zeer hoog,hoog,4.0,2.0,groot,medium,FALSE
zeer hoog,hoog,4.0,2.0,groot,hoog,FALSE
zeer hoog,hoog,4.0,4.0,klein,laag,FALSE
zeer hoog,hoog,4.0,4.0,klein,medium,FALSE
zeer hoog,hoog,4.0,4.0,klein,hoog,FALSE
zeer hoog,hoog,4.0,4.0,medium,laag,FALSE
zeer hoog,hoog,4.0,4.0,medium,medium,FALSE
zeer hoog,hoog,4.0,4.0,medium,hoog,FALSE
zeer hoog,hoog,4.0,4.0,groot,laag,FALSE
zeer hoog,hoog,4.0,4.0,groot,medium,FALSE
zeer hoog,hoog,4.0,4.0,groot,hoog,FALSE
zeer hoog,hoog,4.0,7.0,klein,laag,FALSE
zeer hoog,hoog,4.0,7.0,klein,medium,FALSE
zeer hoog,hoog,4.0,7.0,klein,hoog,FALSE
zeer hoog,hoog,4.0,7.0,medium,laag,FALSE
zeer hoog,hoog,4.0,7.0,medium,medium,FALSE
zeer hoog,hoog,4.0,7.0,medium,hoog,FALSE
zeer hoog,hoog,4.0,7.0,groot,laag,FALSE
zeer hoog,hoog,4.0,7.0,groot,medium,FALSE
zeer hoog,hoog,4.0,7.0,groot,hoog,FALSE
zeer hoog,hoog,5.0,2.0,klein,laag,FALSE
zeer hoog,hoog,5.0,2.0,klein,medium,FALSE
zeer hoog,hoog,5.0,2.0,klein,hoog,FALSE
zeer hoog,hoog,5.0,2.0,medium,laag,FALSE
zeer hoog,hoog,5.0,2.0,medium,medium,FALSE
zeer hoog,hoog,5.0,2.0,medium,hoog,FALSE
zeer hoog,hoog,5.0,2.0,groot,laag,FALSE
zeer hoog,hoog,5.0,2.0,groot,medium,FALSE
zeer hoog,hoog,5.0,2.0,groot,hoog,FALSE
zeer hoog,hoog,5.0,4.0,klein,laag,FALSE
zeer hoog,hoog,5.0,4.0,klein,medium,FALSE
zeer hoog,hoog,5.0,4.0,klein,hoog,FALSE
zeer hoog,hoog,5.0,4.0,medium,laag,FALSE
zeer hoog,hoog,5.0,4.0,medium,medium,FALSE
zeer hoog,hoog,5.0,4.0,medium,hoog,FALSE
zeer hoog,hoog,5.0,4.0,groot,laag,FALSE
zeer hoog,hoog,5.0,4.0,groot,medium,FALSE
zeer hoog,hoog,5.0,4.0,groot,hoog,FALSE
zeer hoog,hoog,5.0,7.0,klein,laag,FALSE
zeer hoog,hoog,5.0,7.0,klein,medium,FALSE
zeer hoog,hoog,5.0,7.0,klein,hoog,FALSE
zeer hoog,hoog,5.0,7.0,medium,laag,FALSE
zeer hoog,hoog,5.0,7.0,medium,medium,FALSE
zeer hoog,hoog,5.0,7.0,medium,hoog,FALSE
zeer hoog,hoog,5.0,7.0,groot,laag,FALSE
zeer hoog,hoog,5.0,7.0,groot,medium,FALSE
zeer hoog,hoog,5.0,7.0,groot,hoog,FALSE
zeer hoog,medium,2.0,2.0,klein,laag,FALSE
zeer hoog,medium,2.0,2.0,klein,medium,FALSE
zeer hoog,medium,2.0,2.0,klein,hoog,FALSE
zeer hoog,medium,2.0,2.0,medium,laag,FALSE
zeer hoog,medium,2.0,2.0,medium,medium,FALSE
zeer hoog,medium,2.0,2.0,medium,hoog,FALSE
zeer hoog,medium,2.0,2.0,groot,laag,FALSE
zeer hoog,medium,2.0,2.0,groot,medium,FALSE
zeer hoog,medium,2.0,2.0,groot,hoog,FALSE
zeer hoog,medium,2.0,4.0,klein,laag,FALSE
zeer hoog,medium,2.0,4.0,klein,medium,FALSE
zeer hoog,medium,2.0,4.0,klein,hoog,FALSE
zeer hoog,medium,2.0,4.0,medium,laag,FALSE
zeer hoog,medium,2.0,4.0,medium,medium,FALSE
zeer hoog,medium,2.0,4.0,medium,hoog,FALSE
zeer hoog,medium,2.0,4.0,groot,laag,FALSE
